50.021,Artificial Intelligence,,Faculty of Information Systems Technology and Design [ISTD],12,,"50.007 Machine Learning/ 40.319 Statistical & Machine Learning
10.022 Modelling Uncertainty (For AY2020 and subsequent batches)
10.014 Computational Thinking for Design (For AY2020 and subsequent batches)",,"Artificial intelligence (AI) is a rich field spanning formal systems for representing and processing symbolic information, computational models of human cognition, and a range of techniques for learning, planning and reasoning under uncertainty. In this course, students will gain an appreciation of what “artificial intelligence” means, and how it can be usefully applied to real-world problems. Students will learn the intricacies of state-space search and constraint programming. Through an in-depth treatment of knowledge representation via propositional and first-order logic, students will understand how expert knowledge can be fed into and be processed by modern computers. In addition, students will acquire skills in using planning algorithms to find solutions to optimization problems, and understand how to use probabilistic reasoning to draw inferences in uncertain environments.",,,,"Introduction to Artificial Intelligence, Search, Adversarial Search, Constraint Satisfaction, Logic, Planning.",,"By the end of the course, students will be able to:

Define the meaning of “artificial intelligence”.
Name examples of AI that are successful in real-world problems.
Describe the strengths and limitations of various state-space search algorithms, and choose the appropriate algorithm for a problem.
Formulate and solve problems in the framework of constraint satisfaction problems.
Formulate and solve planning problems.
Use probabilistic modelling techniques to solve problems with noise, incomplete information, and uncertainty.
Summarize the essential components of gradient-based optimization in supervised learning problems
Explain the impact of stepsizes in gradient-based optimization
Recognize the difference between batch and stochastic/mini-batch gradient descent and apply improved weight update methods such as momentum term, RMSProp and Adam.
Be able to apply the training and running of trained neural networks in Pytorch
Be able to investigate the impact of essential parameters such as stepsize, batchsize and training iterations when training a neural network
Discuss the usage of different neural network structures such as fully connected, convolutional and pooling layers
Be able to recall state of the art neural network components such as batch normalization layers and residual connections
Be able to recall the basic ideas behind neural networks used for machine translation and sequence to sequence learning.
Be able to construct input samples that are able to fool neural networks
Explain the difference between training from scratch and finetuning, be able to run finetuning of neural networks.","List current useful real-world applications of AI.
Implement state-space search algorithms for a variety of problems.
Solve constraint programming problems.
Infer new information from provided knowledge.
Use planning algorithms to find optimal solutions.
Solve problems with noise and uncertainty using probabilistic techniques.",1,1
50.033,Foundations of Game Design and Development,,Faculty of Information Systems Technology and Design [ISTD],12,,"50.001 Information Systems & Programming
50.004 Algorithms",,"This is an introductory course about the basic of game creation. This course provides an overview of different aspects of game development. Student will get in touch with C++ Programming (industry standard), starting with console application, then GUI games on various platform with graphics, dialog boxes, and user control. There are also basic overview of topics including game architecture, interface design, graphics for game, audio for game, prototyping and play testing. Students will be able to implement their creative gaming idea by using the latest gaming tools which are easy and readily usable.",,,,"Introduction, Game theory, challenges, and strategies, Story Telling, story elements, traditional story structure, nonlinear and collaborative storytelling, Point-of-View and archetype, Game Characters, character development elements, visual and verbal character development, Rules of Game Play, Interactivity modes, balance, and economies, Level Design, Structure, Time and Space, Structures of environmental design, Player control, Perspective, style, temporal and spatial features, Documentation, Unity and Unreal engine basic (workflow, scene basic, game object, gameplay creation), Editor and scripting, Graphics (Lighting, cameras, terrain, shaders, particles system, sprite, rendering features, mesh geometry, layers), Physics (rigidbodies, colliders, joints, controllers), User Interface objects (canvas, layout, interaction components), Navigation and path finding, Music, sound design, audio sequencing and mixing using Audacity, Exploration of player motivation, Player-Centred Design, Interface and Game Features, Interface Types, Usability, The Player Experience, Resources constrain (CPU, memory, control space), The difference between simulator and real gaming device, Memory leak and detection tools, Lazy loading vs preloading, Basic of cloud gaming, Mobility design (instant save load, localization, running time optimization), Development Phases, Management, Roles and responsibilities, Community management and customer support, Advertising, public relations, sales and promotion, Previous and current successful business model, target customer.",,"Have a board but general overview of different aspects of game development.
Understand the complete flow of game development in a high level perspective, be prepared to master the complete skill set of game development.","Produce simple games with student’s novel idea by using existing tools.
Ability to use code libraries to quickly create runnable games.",1,1
50.037,Blockchain Technology,,Faculty of Information Systems Technology and Design [ISTD],12,,"The course assumes a basic familiarity with computer programming and knowledge of the Python language.

50.004 Algorithms
50.005 Computer System Engineering
50.012 Networks, 50.020 Security, and 50.043 Database Systems are helpful but not required. Needed concepts will be introduced during the class",,"Decentralized blockchain-based systems, such as Bitcoin and Ethereum, are successful beyond all expectations. Although still in their infancy, they promise to revolutionize how we think of financial, information, and other infrastructures. This course covers the technical aspects of public distributed ledgers, blockchain systems, cryptocurrencies, and smart contracts. Students will learn how these systems are built, how to interact with them, how to design and build secure distributed applications.",,,,"Intro to Cryptographic Tools, Distributed Systems and Consensus, Bitcoin Basics, Bitcoin Mechanisms, Ethereum, Smart Contracts, Anonymity and Privacy of Blockchain, Miscellaneous topics of Blockchain.",,"By the end of the course, students will be able to

Understand how blockchain systems (mainly Bitcoin and Ethereum) work,
To securely interact with them,
Design, build, and deploy smart contracts and distributed applications,
Integrate ideas from blockchain technology into their own projects.","Explain design principles of Bitcoin and Ethereum.
Explain Nakamoto consensus.
Explain the Simplified Payment Verification protocol.
List and describe differences between proof-of-work and proof-of-stake consensus.
Interact with a blockchain system by sending and reading transactions.
Design, build, and deploy a distributed application.
Evaluate security, privacy, and efficiency of a given blockchain system.",1,1
50.041,Distributed Systems and Computing,,Faculty of Information Systems Technology and Design [ISTD],12,,50.004 Algorithms or consultation with the instructor,,"This course introduces fundamental concepts for designing and implementing large‐scale distributed systems. The course will not only focus on the design aspects of distributed systems, but will also focus on the fundamental principles to ensure the correctness in a distributed environment. We will apply the concepts via hands on assignments using GO programming language. The course will also deep dive into specific concepts of distributed systems e.g. designing distributed file systems (such as in Google File Systems) to accommodate arbitrarily many application‐level users. Finally, we will discuss concepts on recovering from faults (both normal and byzantine) in a distributed system.",,,,"Introduction, Clocks, Election, Clocks and Election, Distributed Mutual Exclusion, Consistency Model, Distributed File Systems, Fault Tolerance 1, Fault Tolerance 2, Byzantine Faults.",,"Design and implement a distributed system from scratch.
Apply key ideas to maintain the correctness in distributed systems.
Learning techniques to design and develop massively parallel systems using GO programming language.
Learning techniques to design and implement a distributed file system.
Learning and applying techniques to recover from faults in distributed systems.","Build models of distributed systems [LO 1].
Prototype distributed software systems [LO 1,2,3,4,5].
Build distributed algorithms using industry-strength programming language [LO 3].
Build algorithms to analyse the correctness of distributed systems [LO 2].
Prototype software and systems to manage files and records in a distributed environment [LO 4].
Build algorithms to analyse and test possible faults in distributed systems [LO 1, 5].
Build techniques to recover from faults in distributed systems [LO 5].
Build techniques at the level of supervisory software to support distributed applications [LO 1,4,5].",1,1
50.042,Foundations of Cybersecurity,,Faculty of Information Systems Technology and Design [ISTD],12,,,,"This course provides students with a basic appreciation and understanding of the core concepts of information security. Topics to be covered include concepts for confidentiality, integrity and availability; introduction to cybercrimes and security issues; threats to information systems and devices; cryptographic primitives such as symmetric and asymmetric cryptography; core problems such as random number generation, entropy, and key distribution; and common topics such as security protocols and public‐key infrastructures.",,,,"Introduction, Hash Functions, Password and Rainbow Tables, Applications for Hashing, Block Ciphers, Modular Arithmetics, Key Establishment, Public Key Crypto, Digital Signatures, Security Protocols, Side Channel Attacks, Security Policy, Information Flow, Distributed Systems.",,"List basic security solutions and models; explain concepts for confidentiality, integrity and availability.
Apply protocols used for key establishment, encryption, and authentication to secure a system.
Apply known attacks to vulnerable cryptographic primitives.
Model, analyse, and apply cryptographic primitives used for encryption, secure hashing, and digital signatures.
Evaluate the security of existing system designs respect to different attacker models.","Evaluate security models like CIA model (confidentiality, integrity, availability) by defining and assessing security level for an existing system in a design project
Perform attacks related to block ciphers in Electronic‐Codebook mode, through successful retrieval of partial or full information related to the plaintext or key used, and
show the outcome of the attacks.
Implement a scheme for pre‐image recovery of hashes through brute force and hybrid attacks for hash related password authentication systems.
Apply substitution ciphers, One‐time‐pads, and AES in real‐life applications to prevent sensitive data exposure and thus preserve the confidentiality of secret data.
Analyse network logs , based on that, implement potential attacks on schemes for encryption, authentication, key establishment and digital signatures, through a challenge design and solving project.",1,1
50.044,System Security,,Faculty of Information Systems Technology and Design [ISTD],12,,50.042 Foundations of Cybersecurity,,"This course covers the security of users, individual computer systems, including personal computers, smart cards and embedded platforms. The course starts with considerations of common security flaws in a computer system, security of widely used computer platforms and user authentication. Then, topics such as physical‐layer attacks and tamper resistant hardware are discussed. Finally, the course ends with a set of selected security topics like biometrics, computer forensics, and Bitcoin.",,,,"Introduction, Memory safety attacks, Defenses for memory safety, Authentication, Privilege Separation, Isolation, Hardware Security, Mobile Security, Web Security, Secure Channels, Secure Messaging.",,"Define security objectives for a given computer system based on problem setting and requirements
Explain how computer systems are compromised
Learn how to defend against common attacks to various computer systems
Apply basic security design principles to a secure computer system design and implementation","Identify the security objectives of a computer system by defining and assessing the security level of an existing computer system properly and comprehensively, through a design project
Demonstrate ability to apply and analyse common attacks on various computer systems, through successfully compromising a computer system in a laboratory environment
Analyze and apply defensive technology and software to defend various computer systems, by demonstrating security level improvement of existing vulnerable computer systems
Demonstrate mastery of applying system security design principles and best practices by interpreting the process of securing a computer system in a design project",1,1
50.045,Information Retrieval,,Faculty of Information Systems Technology and Design [ISTD],12,,"Prior knowledge of elementary linear algebra would be helpful but is not required for this course.
Programming knowledge preferably in Python.
Object-orientated programming.
Data structure.",,"Automatic methods of Information Retrieval (IR) have gained greater significance in recent years due to the dramatic increase in the amount of data available on the Web. The data is often present in multiple forms (such as text, image, video) and hence it is necessary that the IR techniques being deployed on the web are able to perform various operations such as search and retrieval across all these different data formats. In this course, the study of IR will be focused on the methodologies of indexing, processing, and querying of primary textual data and will be extended to video and image data in the latter part of the course. The primary learning objective of the course will be – i) to gain knowledge about the basic concepts and techniques of IR.; ii) understand the basic functionality and underlying algorithm of an IR system.; iii) understand modern neural networks and deep learning-based techniques that are used in today’s’ IR systems.; and iv) to learn about several applications of e.g., question answering, image, and video retrieval; v) learn how to develop a basic IR system from scratch and evaluate the system; vi) learn classification, clustering, topic modeling which are the core modules in an IR system.",,,,"Boolean retrieval and VSM, Word Embeddings, Probabilistic IR and Relevance Feedback, BM-25, Introduction to Neural Networks, Text Processing and Classification using Neural Networks, Language Modeling — Transformers, BERT, RoBERTa, IR using Language Modeling, Question Answering, Personalization, Image Retrieval.",,"Gain knowledge about the basic concepts and techniques of IR.
Understand the basic functionality and underlying algorithms of an IR system.
Understand modern neural networks and deep learning-based techniques that are used in today’s IR systems.
Learn about several applications of e.g., question answering, image, and video retrieval.
Learn how to develop a basic IR system from scratch and evaluate the system.
Learn clarification, clustering, topic modeling which are the core modules in an IR system.","Identifying important concepts of Information Retrieval.
Learn vector space modeling, modern deep learning techniques for IR and evaluation methods. Finally, utilize this knowledge to complete the project.
Evaluate the performance of different IR models using empirical benchmarks.
Implement different IR applications such as Question Answering, Image and Video Retrieval systems.
Able to use libraries such as Sklearn, Keras for data processing and IR model creation.
Mathematically explain common neural network-based models, word2vec and Glove distributed word representations for IR system building.",1,1
50.046,Cloud Computing and Internet of Things,,Faculty of Information Systems Technology and Design [ISTD],12,,"10.009 The Digital World (For Intake AY2019)
50.005 Computer System Engineering (recommended) or a strong foundation in computer systems",,"The Internet of Things and its integration with cloud computing are transforming our world in a fundamental way. This course teaches some of the essential IoT and cloud computing technologies from the ground up. Specific topics covered include IoT devices programming (ESP32), sensing technologies, IoT protocols (Zigbee, LPWAN, MQTT), and multiple cloud-based services including storage, distributed and parallel computing, and virtualization. Students will learn how to design, develop, and deploy end-to-end cloud-based IoT applications, by formulating a real-world problem and identifying its key design objectives, challenges, and constraints.",,,,"Sensors, Embedded systems and RTOS, Wireless networking for IoT, Edge computing, Energy efficiency design, Accessing Cloud, Storage as a Service, Computing as a Service, Task parallelism, Cloud scaling and Container, Batch and streaming analytics, ML in the Cloud, tinyML, Cloud infrastructure and management mechanism, Advanced cloud infrastructure, Security in the Cloud and IoT systems.",,"To understand the related architecture designs and technologies of cloud computing
To explain the overall architecture and key design principles of IoT systems, including both functional and non-functional aspects
To design cloud-based IoT applications using proper cloud services
To gain hands-on experience in key technologies for developing an IoT system, including sensor selection / interfacing, embedded system programming, use of suitable network protocols, and various cloud services (compute, storage, data analytics, management)
To gain design experience in solving a real-world problem using IoT and cloud technologies
To gain both the experience and confidence in learning a new IoT technology independently","List the functions of different IoT and cloud computing components
Use various sensors, embedded device libraries, IoT protocols, and cloud services
Develop skills in systematic testing and debugging
Work in a team to formulate a real-world problem that can be solved using IoT and cloud technologies, including design objectives, challenges, and constraints
Apply suitable IoT and cloud technologies to develop a proof-of-concept system, and present the solution in the class with explanation of its key design considerations
Apply new cloud services or sensors if relevant to the project",1,1
50.049,Parallel Computing on Multicore Architectures,,Faculty of Information Systems Technology and Design [ISTD],12,,50.004 Algorithms. Knowledge of Java/C programming is strongly encouraged.,,"This course hence aims to equip students with core knowledge of multicore processor architectures and parallel computing, they will:

understand where is the parallelism come from based on the advances in superscalar hyperthreading hardware architectures (multicore CPUs and GPUs);
learn how to architect algorithms, software and solutions that can take full advantage of the latest hardware architectures;
understand the principles of how to design correct and efficient parallel computing software and get familiar with the tools to debug and instrument parallel computing;
get hands-on experience from case studies of algorithms/systems and readings from the current literature provide comparisons and contrasts.",,,,"The overall module contains three parts.

The first (week 1 ~ week 3) will focus on “what is parallel computing”, and “how to parallel computing”
The second (week 4 ~ week 9) discuss “what are the potential problems in parallel computing and how to address them”, and “what are the common strategies to optimize parallel computing”
The third (week 10 ~ week 12) will focus on advanced topics including “GPGPU programming”, “shared-nothing parallel computing”, “energy-efficient computing”.
In the 13th week, we will have a summary and recap session to help students to fully digest the knowledges.",,"Explain the key technologies (e.g., pipeline, out-of-order execution, speculation) used in processor architecture for improving performance.
Learning key concepts in design issues of multi-core processors, such as memory, communication, and scheduling.
Learning how one can develop software that exploits parallelism and concurrency for efficiency, including using software libraries, tools, and formal techniques for design and benchmarking.
Able to develop parallel computing algorithm or system component on modern multicore hardware architectures.","Able to understand the fundamental concepts of multicore architectures [Exam].
Implement a working efficient parallel computing algorithm/system components on modern multicore architectures [Projects].
Implement, optimize and test parallel algorithms and data structures [Projects, Exams].",1,1
50.05,Discrete Mathematics and Algorithm Design,,Faculty of Information Systems Technology and Design [ISTD],12,,"50.004 Algorithms
10.018 Modelling Space and Systems (for Intake Y2020 and subsequent batches)",,"An in-depth understanding of Computer Science requires strong mathematical foundations. In this course, students will learn the foundations of discrete mathematics and other mathematical areas, with an emphasis on understanding the underlying mathematics for algorithms beyond those covered in 50.004 Algorithms. Through this course, students will appreciate the wide applicability of mathematics for algorithms in artificial intelligence, communications, computer graphics, cybersecurity, data analytics, robotics, etc. Topics include: Counting methods, logic and proof methods, graph theory (incl. graph colorings, matchings, Ramsey theory), graph algorithms (e.g. Fleury’s algorithm, Kosaraju’s algorithm, Kruskal’s algorithm, Prim’s algorithm), number theory (e.g. modular arithmetic, Euclidean algorithm), coding theory (e.g. Huffman coding, Hamming codes), convex geometry (e.g. polytopes, Voronoi diagrams), computational geometry (e.g. Fortune’s algorithm, Gilbert-Johnson-Keerthi algorithm).",,,,"Sets, set relations, bijections, cardinality and (un-)countability of sets, propositional logic, predicates and quantifiers, counting methods, permutations & combinations, inclusion-exclusion principle
Binomial coefficients and identities, proof methods, induction, well-ordering principle, invariance, extremal principle
Graph colorings, planar graphs, Euler’s formula, four-color theorem, pigeonhole principle, Ramsey theory
Graph representations, graph isomorphism, graph invariants, bipartite graphs, graph matchings
Graph connectivity, Eulerian paths and cycles, Fleury’s algorithm, Kosaraju’s algorithm, Sperner’s lemma
Trees, minimal spanning trees, Kruskal’s algorithm, Prim’s algorithm
Modular arithmetic, divisibility and primes, Diophantine equations, Euclidean algorithm, solving congruences, Fermat’s little theorem, RSA algorithm
Integer representations, machine representations of numbers, binary numbers, Hamming metric, introduction to coding theory, Huffman coding
Hamming codes, perfect codes, geometry of error correction codes
Geometry of Euclidean spaces, convex hulls, affine geometry, half-spaces, hyperplanes, simplices, polytopes, geometry of simplex algorithm
Voronoi diagrams, Fortune’s algorithm
Cones, conic hulls, Minkowski sums, GJK algorithm",,"At the end of the term, students will be able to:

Understand basic concepts in set theory and logic.
Apply counting methods and proof methods in solving problems.
Demonstrate familiarity with graph-theoretic terminology and concepts.
Analyze structural properties in graphs.
Understand the applications of graph algorithms.
Solve problems using Kruskal’s algorithm and Prim’s algorithm.
Understand Sperner’s lemma and its applications.
Understand basic concepts in elementary number theory.
Apply Huffman coding to data compression.
Understand the geometry of error correction codes.
Demonstrate familiarity with data encoding/decoding using Hamming codes.
Understand basic geometric concepts in convex geometry and computational geometry.
Understand Voronoi diagrams and Fortune’s algorithm.
Understand the Gilbert-Johnson-Keerthi (GJK) algorithm.","Solve counting problems via multiple counting methods.
Write mathematical proofs that incorporate various proof methods.
Compute matchings in graphs.
Design simple graph algorithms.
Design algorithms for fair resource division using Sperner’s lemma.
Compute minimal spanning trees using Kruskal’s algorithm and Prim’s algorithm.
Solve congruence equations.
Apply encoding/decoding techniques to data.
Analyze the correctness of algorithms using mathematical concepts.",1,1
50.051,Programming Language Concepts,,Faculty of Information Systems Technology and Design [ISTD],12,,10.014 Computational Thinking for Design,,"In this module, students will learn about data representation, programming and compilation. In the first part, we will learn how binary is used to encode values (data) and instructions (code). We will then learn how to create complex data types and how object oriented programming works behind the scenes. In the second part, we will work on the different aspects of compilation, including lexical and syntaxic analysis, parsing and programming language design. Students will complete four small projects (2 individual and 2 group assignments) about memory management in C, C++, and compilation (lexical and syntaxic analysis and parsing). By gaining this knowledge, students will be able to understand how programming languages are designed.",,,,"Binary Operations, Data Representation, C programming, C++ programming, Memory management, Compilation, Pre-processing & lexical analysis, Top-down and bottom-up parsing, Semantic analysis.",,"Program in C and C++
Design a compiler for an imperative programming language
Understand how data/instructions are stored and represented in the computer’s memory
Understand the link between imperative and object-oriented languages
Understand the compilation process","Understand how memory is used to store data and instructions on a computer
Ability to program in C and C++
Understand the imperative programming paradigm
Understand the compilation process
Ability to learn any imperative programming language",1,1
50.052,Extended Reality,,Faculty of Information Systems Technology and Design [ISTD],12,,50.001 Information Systems & Programming or demonstrable experience and knowledge in object-oriented programming.,,"Extended Reality (XR) encapsulates various immersive technologies that can merge the physical and virtual worlds, including virtual reality (VR), augmented reality (AR), and mixed reality (MR). This course is an introduction to the fundamental techniques and practical applications of Extended Reality. We will cover several topics: concepts in XR, human perception, immersion and presence, virtual world modelling, real-time simulation, input and output devices, 3D user interaction, design principles for XR, and case studies. These topics will be explored via a combination of lectures, individual assignments and a group project to develop an XR application. Students should be comfortable with programming for the front and back end. They should be familiar with Unity to complete the project and assignments.",,,,"XR concept, Relation and difference between VR, AR and MR, XR system, Human perception, Immersion in XR, Virtual worlds, 3D modeling and rendering, Input devices, Tracking, Output devices, Displaying, Latency in VR, AR, Registration, Interaction, User Interface Design.",,"Define and explain the fundamental concepts in Extended Reality (VR / AR / MR).
Establish and analyse requirements for building an XR system to achieve the goal of immersion and enriched experiences.
Understand the fundamental hardware and software techniques in XR.
Understand the user interaction and interface design principles for XR.
Create and display digital content and design interaction for XR systems.
Develop an XR prototype that addresses an interesting and/or important real problem that involves people.
Analyze the technical feasibility of XR projects and identify the challenges.","By the end of this course, students should be able to:

Define and explain principles in design and realization of XR systems.
Explain the advantages, disadvantages, and limitations of using VR, AR, or MR systems.
Model and create virtual worlds for XR.
Design user interface for interacting with the virtual worlds in XR.
Choose suitable input and output devices for building an XR system.
Develop an XR prototype that addresses an interesting and/or important real problem.",1,1
50.053,Software Testing and Verification,,Faculty of Information Systems Technology and Design [ISTD],12,,50.003 Elements of Software Construction or good knowledge in JAVA programming or by consultation with the instructor.,,"The course will introduce the fundamental concepts behind various automated testing algorithms and introduce basic concepts behind verification (specifically, model checking). The focus of the
course will be more on the design of test algorithms than the usage of testing tools. At the end of the course, students are expected to gain knowledge on how to test arbitrarily complex systems. The course will provide a brief recap on the testing introduced earlier e.g., coverage-based testing and unit testing. Subsequently, it will dive deep into the systematic test generation strategies. The concluding week of the course will involve discussion of some selected and impactful recent research on software testing and draw an unusual synergy between the model checking (verification) and testing. The course will involve the development of a medium scale software project prototype from scratch (w/o libraries, w/o plugins) and the software prototype will be tested via the systematic testing mechanisms learned in the course. The software prototypes will be exchanged among different groups to mimic the testing culture in industry.
",,,,"Dependency analysis, Slicing and data flow analysis, Introduces specification based testing techniques, e.g., grammar-based testing, Directed testing methodologies e.g., using the dependency analysis, Basic mutation testing and higher order mutation testing, Simulated annealing, genetic algorithm, others, Change directed search, change directed symbolic execution, Rationale behind the success of fuzzing in software security: Mutational and Generational Fuzzing, Hybrid Fuzzing, Model checking algorithm (Explicit State Model checking and SAT-based Software Model Checking), Metamorphic testing, differential testing etc., Testing Machine Learning Systems, Testing stateful systems.",,"Design and implement software test generation algorithm from scratch.
Apply key ideas to design directed testing methodologies.
Learning and applying techniques to systematically test the software security.
Learning techniques to apply formal verification techniques on small to medium scale software.
Learning techniques to test software systems without oracles.
Learning techniques to test stateful software systems and ML-based software systems.","Build test generation techniques for complex software systems
Prototype software testing algorithms to validate medium scale software systems
Engineer test generation algorithms to direct towards faults and certain code
Build models and properties of software systems for verification
Build test generation algorithms for software systems without ground truth
Build blackbox software testing techniques for validating protocols and data-driven systems
Engineer software testing techniques to check regression errors",1,1
